year,state_id,single_filer_rates,single_filer_brackets,married_filing_jointly_rates,married_filing_jointly_brackets,standard_deduction_single,standard_deduction_couple,personal_exemption_single,personal_exemption_couple,personal_exemption_dependent
2023,25,0.0637,75000,0.05525,80000,NULL,NULL,NULL,NULL,NULL
2023,25,0.0897,500000,0.0637,150000,NULL,NULL,NULL,NULL,NULL
2023,25,0.1075,1000000,0.0897,500000,NULL,NULL,NULL,NULL,NULL
2023,25,NULL,NULL,0.1075,1000000,NULL,NULL,NULL,NULL,NULL
2023,26,0.017,0,0.017,0,13850,27700,0,0,4000
2023,26,0.032,5500,0.032,8000,NULL,NULL,NULL,NULL,NULL
2023,26,0.047,11000,0.047,16000,NULL,NULL,NULL,NULL,NULL
2023,26,0.049,16000,0.049,24000,NULL,NULL,NULL,NULL,NULL
2023,26,0.059,210000,0.059,315000,NULL,NULL,NULL,NULL,NULL
2023,27,0.04,0,0.04,0,8000,16050,0,0,1000
2023,27,0.045,8500,0.045,17150,NULL,NULL,NULL,NULL,NULL
2023,27,0.0525,11700,0.0525,23600,NULL,NULL,NULL,NULL,NULL
2023,27,0.055,13900,0.055,27900,NULL,NULL,NULL,NULL,NULL
2023,27,0.06,80650,0.06,161550,NULL,NULL,NULL,NULL,NULL
2023,27,0.0685,215400,0.0685,323200,NULL,NULL,NULL,NULL,NULL
2023,27,0.0965,1077550,0.0965,2155350,NULL,NULL,NULL,NULL,NULL
2023,27,0.103,5000000,0.103,5000000,NULL,NULL,NULL,NULL,NULL
2023,27,0.109,25000000,0.109,25000000,NULL,NULL,NULL,NULL,NULL
2023,28,0.0475,0,0.0475,0,12750,25500,0,0,0
2023,29,0.011,0,0.011,0,13850,27700,0,0,0
2023,29,0.0204,41775,0.0204,69700,NULL,NULL,NULL,NULL,NULL
2023,29,0.0227,101050,0.0227,168450,NULL,NULL,NULL,NULL,NULL
2023,29,0.0264,210825,0.0264,256650,NULL,NULL,NULL,NULL,NULL
2023,29,0.029,458350,0.029,458350,NULL,NULL,NULL,NULL,NULL
